original_key,edited_key,normalized,pages
24 Hours From Tulsa,24 Hours From Tulsa,24 Hours From Tulsa,"154, 423"
A Day In The Life,A Day In The Life,A Day In The Life,"226, 234"
Adventures in Jazz Composition,Adventures in Jazz Composition,Adventures in Jazz Composition,"405, 429"
Alan Shacklock,Alan Shacklock,"Shacklock, Alan","85, 86, 193, 194"
Alexander Shulgin,Alexander Shulgin,"Shulgin, Alexander","122, 159, 167, 279, 367, 387"
Alexis Korner,Alexis Korner,"Korner, Alexis","54, 55"
Also Sprach Zarathustra,Also Sprach Zarathustra,Also Sprach Zarathustra,"49, 50, 109, 111"
Alvin Lee,Alvin Lee,"Lee, Alvin","18, 41, 124, 125, 282, 285"
Always Look On The Bright Side Of Life,Always Look On The Bright Side Of Life,Always Look On The Bright Side Of Life,"297, 323"
American Garage,American Garage,American Garage,"60, 62, 65, 134, 139, 147, 423"
Andrew Lloyd Webber,Andrew Lloyd Webber,"Lloyd Webber, Andrew","209, 235"
Andy Pask,Andy Pask,"Pask, Andy","88, 94, 124, 135, 151, 168, 199, 214, 282, 310, 350, 389"
Andy Richards,Andy Richards,"Richards, Andy","56, 73, 74, 86, 99, 125, 168, 195, 226"
Angel Studios,Angel Studios,Angel Studios,"268, 407"
Anne Dudley,Anne Dudley,"Dudley, Anne","47, 71, 75, 84, 89, 103, 161, 170, 191, 200"
Anne Pigalle,Anne Pigalle,"Pigalle, Anne","191, 423"
Anthony Steinberg,Anthony Steinberg,"Steinberg, Anthony","156, 164, 360, 379"
Aretha Franklin,Aretha Franklin,"Franklin, Aretha","8, 20, 98, 225"
Arif Mardin,Arif Mardin,"Mardin, Arif","8, 20, 128, 292, 296"
Arlene Phillips,Arlene Phillips,"Phillips, Arlene","46, 49, 51, 102, 108, 113"
Arrange Like A Pro,Arrange Like A Pro,Arrange Like A Pro,"405, 429"
August Darnell,August Darnell,"Darnell, August","129, 132, 134, 295, 301, 307"
Average White Band,Average White Band,Average White Band,"72, 131, 142, 162, 299, 331"
BBC Big Band,BBC Big Band,BBC Big Band,"121, 127, 134, 135, 137, 145, 165, 169"
