key,old_pages,new_pages
24 Hours From Tulsa,"154, 423","155, 425"
Adventures in Jazz Composition,"405, 429",406
Woody Allen,"387, 388","389, 390"
Also Sprach Zarathustra,"49, 50, 109, 111","110, 111"
John Altman,"47, 103, 128, 140, 159, 170, 293, 297, 324, 369, 396, 412","103, 294, 298, 325, 370, 397, 398, 414"
Always Look On The Bright Side Of Life,"297, 323","298, 324"
American Garage,"60, 62, 65, 134, 139, 147, 423","135, 137, 140, 148, 425"
Morey Amsterdam,"4, 8, 9, 152, 351","8, 9, 353"
Jon Anderson,"23, 24, 52, 55","52, 55"
Steve Anderson,"37, 81, 136, 152, 315, 351","81, 316, 353"
Simon Andrew,"87, 100, 196, 229, 424","196, 230, 425"
Derek Andrews,"36, 44, 45, 80, 82, 98, 99, 145, 186, 335","81, 99, 186, 337"
Julie Andrews,"66, 67, 135, 150, 151, 152, 314","150, 151, 152, 314"
Angel Studios,"268, 407","269, 409"
David Arden,"43, 44, 96, 97","96, 97"
Arrange Like A Pro,"405, 429",407
Rick Astley,"102, 164, 232, 379","233, 381"
Average White Band,"72, 131, 142, 162, 299, 331","162, 301, 332"
Jay Azzolina,"71, 412","72, 414"
A Day In The Life,"226, 234","226, 235"
Burt Bacharach,"9, 22, 82, 122, 186, 278, 279","22, 186, 279"
Jess Bailey,"68, 69, 72, 81, 82, 88, 101, 103, 114, 153, 157, 163, 185, 186, 199, 230, 231, 235, 260, 355","154, 157, 163, 185, 187, 199, 231, 232, 235, 261, 356"
Ginger Baker,"18, 19, 43",43
Michael Ball,"151, 153, 350, 355","352, 356, 357"
Bandzilla Rises,"278, 364, 398, 400, 427","278, 365, 400, 402, 429"
The Bandzilla Songbook,"401, 428","402, 430"
Guy Barker,"68, 71, 72, 80, 81, 88, 93, 94, 103, 153, 161, 162, 164, 180, 183, 198, 210, 214, 234","153, 161, 163, 165, 180, 183, 199, 211, 215, 235"
Ed Barker,"162, 168, 172, 376, 389, 400, 427","327, 378, 391, 402, 429"
Gary Barnacle,"86, 90, 193, 204","194, 204"
David Barnes,"32, 33, 34, 41, 42, 73, 74, 76, 89, 94, 173","73, 74, 75, 76, 90, 94, 174"
Mike Batt,"147, 148, 341, 344","339, 343, 345"
Harold Battiste,"292, 296","293, 297"
BBC Big Band,"121, 127, 134, 135, 137, 145, 165, 169","278, 291, 310, 319, 337, 384"
BBC Concert Orchestra,"273, 318, 319","274, 319, 320"
The Beach Boys,"22, 76",76
The Beatles,"13, 30, 77, 99, 175, 226","1, 30, 137, 176, 226, 385, 406"
Bee Gees,"20, 344, 370","20, 345, 372"
Never Before,"143, 427, 428","144, 169, 428, 430"
Being Boring,"259, 260","260, 261"
Dylan Bell,"384, 385","386, 387"
Jaki Benar,"146, 147","146, 148"
George Benson,"8, 20, 179, 422","20, 423"
Leonard Bernstein,"118, 165, 176, 177, 268, 382, 413, 415","269, 384, 414, 416"
Nicholas Biddle,"14, 15, 33","33, 34"
Big Roll Band,"13, 17, 29, 41, 175, 411","29, 41, 413"
Mike Bigwood,"87, 95, 100, 120, 158, 197, 214, 216, 228, 271, 364","197, 216, 229, 272, 365"
Dave Bishop,"93, 99, 101, 110, 152, 174, 209, 227, 231, 250, 351, 407","210, 228, 232, 251, 353, 410"
Cilla Black,"122, 148, 278, 344, 425","279, 345, 427"
Chris Blackwell,"166, 167","167, 168"
Blue Movies,"215, 424","216, 426"
Colin Blunstone,"25, 56, 57, 124","58, 124, 125"
Betty Boo,"1, 425","1, 426"
John Boorman,"29, 30, 66","66, 67"
Derek Bramble,"84, 86, 173, 190, 194, 403","190, 194, 406"
Breaking Away,"190, 424","191, 426"
Michael Brecker,"65, 127, 129, 147, 290, 294","147, 291, 295"
Randy Brecker,"171, 172, 174, 399, 400, 408","401, 402, 410"
Brecker Brothers,"93, 207, 307","93, 208, 308"
Buddy Bregman,"25, 26, 58",58
