key,normalized,pages_extracted,pages_raw,pages_curated,fallback_source,search_terms
Can't Buy Me Love,Can't Buy Me Love,"30, 344, 384",,"30, 345, 385",CURATED_FALLBACK,"Can't Buy Me Love | Love, Can't Buy Me"
Could It Be I'm Falling In Love,Could It Be I'm Falling In Love,"190, 395",,"149, 190, 397",CURATED_FALLBACK,"Could It Be I'm Falling In Love | Love, Could It Be I'm Falling In"
and Fire Wind Earth,"Earth, Wind, and Fire","93, 148, 357, 413",,,EXTRACTED_ORIGINAL,"and Fire Wind Earth | Earth, Wind, and Fire | Wind and Fire Earth | Earth, and Fire Wind | Fire, Earth, Wind, and"
Let's Make Lots Of Money,Let's Make Lots Of Money,"259, 260, 261",,"260, 261",CURATED_FALLBACK,"Let's Make Lots Of Money | Money, Let's Make Lots Of"
Never Before...Never Again,Never Before...Never Again,"143, 428",,"144, 428, 430",CURATED_FALLBACK,"Never Before...Never Again | Again, Never Before...Never"
Popped In Souled Out,Popped In Souled Out,"350, 426",,"351, 428",CURATED_FALLBACK,"Popped In Souled Out | Out, Popped In Souled"
Sex Me Talk Me,Sex Me Talk Me,"195, 423, 424",,"195, 425",CURATED_FALLBACK,"Sex Me Talk Me | Me, Sex Me Talk"
Thinkin' Bout My Baby,Thinkin' Bout My Baby,"330, 331",,"331, 332",CURATED_FALLBACK,"Thinkin' Bout My Baby | Baby, Thinkin' Bout My"
Was Not Was,Was Not Was,"207, 424",,"208, 426",CURATED_FALLBACK,"Was Not Was | Was, Was Not"
What Have I Done to Deserve This?,What Have I Done to Deserve This?,"259, 261",,"260, 262",CURATED_FALLBACK,"What Have I Done to Deserve This? | This?, What Have I Done to Deserve"
Whatever Happened to Hollywood?,Whatever Happened to Hollywood?,"406, 429",,,EXTRACTED_ORIGINAL,"Whatever Happened to Hollywood? | Hollywood?, Whatever Happened to"
