key,normalized,source,not_found_word,pages_extracted,pages_word,pages_raw,pages_curated,pages_final,search_terms
24 Hours From Tulsa,24 Hours From Tulsa,WORD,0,"154, 423","155, 425",,"155, 425","155, 425","24 Hours From Tulsa | Tulsa, 24 Hours From"
Adventures in Jazz Composition,Adventures in Jazz Composition,WORD,0,"405, 429",406,,,406,"Adventures in Jazz Composition | Composition, Adventures in Jazz"
Woody Allen,"Allen, Woody",WORD,0,"387, 388","389, 390","389, 390",,"389, 390","Woody Allen | Allen, Woody | Woody, Allen,"
Also Sprach Zarathustra,Also Sprach Zarathustra,WORD,0,"49, 50, 109, 111","110, 111","110, 111","110, 111","110, 111","Also Sprach Zarathustra | Zarathustra, Also Sprach"
John Altman,"Altman, John",WORD,0,"47, 103, 128, 140, 159, 170, 293, 297, 324, 369, 396, 412","103, 294, 298, 325, 370, 397, 398, 414","103, 294, 298, 325, 370, 397, 398, 414","103, 294, 298, 325, 370, 397, 398, 414","103, 294, 298, 325, 370, 397, 398, 414","John Altman | Altman, John | John, Altman,"
Always Look On The Bright Side Of Life,Always Look On The Bright Side Of Life,WORD,0,"297, 323","298, 324",,"298, 324","298, 324","Always Look On The Bright Side Of Life | Life, Always Look On The Bright Side Of"
American Garage,American Garage,WORD,0,"60, 62, 65, 134, 139, 147, 423","135, 137, 140, 148, 425","135, 137, 140, 148, 425","135, 137, 140, 148, 425","135, 137, 140, 148, 425","American Garage | Garage, American"
Morey Amsterdam,"Amsterdam, Morey",WORD,0,"4, 8, 9, 152, 351","8, 9, 353","8, 9, 353","8, 9, 353","8, 9, 353","Morey Amsterdam | Amsterdam, Morey | Morey, Amsterdam,"
Jon Anderson,"Anderson, Jon",WORD,0,"23, 24, 52, 55","52, 55","52, 55","52, 55","52, 55","Jon Anderson | Anderson, Jon | Jon, Anderson,"
Steve Anderson,"Anderson, Steve",WORD,0,"37, 81, 136, 152, 315, 351","81, 316, 353","81, 316, 353","81, 316, 353","81, 316, 353","Steve Anderson | Anderson, Steve | Steve, Anderson,"
Simon Andrew,"Andrew, Simon",WORD,0,"87, 100, 196, 229, 424","196, 230, 425","196, 230, 425","196, 230, 425","196, 230, 425","Simon Andrew | Andrew, Simon | Simon, Andrew,"
Derek Andrews,"Andrews, Derek",WORD,0,"36, 44, 45, 80, 82, 98, 99, 145, 186, 335","81, 99, 186, 337","81, 99, 186, 337","81, 99, 186, 337","81, 99, 186, 337","Derek Andrews | Andrews, Derek | Derek, Andrews,"
Julie Andrews,"Andrews, Julie",WORD,0,"66, 67, 135, 150, 151, 152, 314","150, 151, 152, 314","150, 151, 152, 314","150, 151, 152, 314","150, 151, 152, 314","Julie Andrews | Andrews, Julie | Julie, Andrews,"
Angel Studios,Angel Studios,WORD,0,"268, 407","269, 409","269, 409","269, 409","269, 409","Angel Studios | Studios, Angel"
David Arden,"Arden, David",WORD,0,"43, 44, 96, 97","96, 97","96, 97","96, 97","96, 97","David Arden | Arden, David | David, Arden,"
Arrange Like A Pro,Arrange Like A Pro,WORD,0,"405, 429",407,,,407,"Arrange Like A Pro | Pro, Arrange Like A"
Rick Astley,"Astley, Rick",WORD,0,"102, 164, 232, 379","233, 381","233, 381","233, 381","233, 381","Rick Astley | Astley, Rick | Rick, Astley,"
Average White Band,Average White Band,WORD,0,"72, 131, 142, 162, 299, 331","162, 301, 332","162, 301, 332","162, 301, 332","162, 301, 332","Average White Band | Band, Average White"
Jay Azzolina,"Azzolina, Jay",WORD,0,"71, 412","72, 414",,,"72, 414","Jay Azzolina | Azzolina, Jay | Jay, Azzolina,"
A Day In The Life,A Day In The Life,WORD,0,"226, 234","226, 235",,"226, 235","226, 235","A Day In The Life | Life, A Day In The"
Burt Bacharach,"Bacharach, Burt",WORD,0,"9, 22, 82, 122, 186, 278, 279","22, 186, 279","22, 186, 279","22, 186, 279","22, 186, 279","Burt Bacharach | Bacharach, Burt | Burt, Bacharach,"
Jess Bailey,"Bailey, Jess",WORD,0,"68, 69, 72, 81, 82, 88, 101, 103, 114, 153, 157, 163, 185, 186, 199, 230, 231, 235, 260, 355","154, 157, 163, 185, 187, 199, 231, 232, 235, 261, 356","154, 157, 163, 185, 187, 199, 231, 232, 235, 261, 356","154, 157, 163, 185, 187, 199, 231, 232, 235, 261, 356","154, 157, 163, 185, 187, 199, 231, 232, 235, 261, 356","Jess Bailey | Bailey, Jess | Jess, Bailey,"
Ginger Baker,"Baker, Ginger",WORD,0,"18, 19, 43",43,,,43,"Ginger Baker | Baker, Ginger | Ginger, Baker,"
Michael Ball,"Ball, Michael",WORD,0,"151, 153, 350, 355","352, 356, 357","352, 356, 357","352, 356, 357","352, 356, 357","Michael Ball | Ball, Michael | Michael, Ball,"
Bandzilla Rises,Bandzilla Rises,WORD,0,"278, 364, 398, 400, 427","278, 365, 400, 402, 429","278, 365, 400, 402, 429","278, 365, 400, 402, 429","278, 365, 400, 402, 429","Bandzilla Rises | Rises, Bandzilla"
The Bandzilla Songbook,"Bandzilla Songbook, The",WORD,0,"401, 428","402, 430","402, 430",,"402, 430","The Bandzilla Songbook | Bandzilla Songbook, The | Songbook, The Bandzilla | The, Bandzilla Songbook,"
Guy Barker,"Barker, Guy",WORD,0,"68, 71, 72, 80, 81, 88, 93, 94, 103, 153, 161, 162, 164, 180, 183, 198, 210, 214, 234","153, 161, 163, 165, 180, 183, 199, 211, 215, 235","153, 161, 163, 165, 180, 183, 199, 211, 215, 235","153, 161, 163, 165, 180, 183, 199, 211, 215, 235","153, 161, 163, 165, 180, 183, 199, 211, 215, 235","Guy Barker | Barker, Guy | Guy, Barker,"
Ed Barker,"Barker, Ed",WORD,0,"162, 168, 172, 376, 389, 400, 427","327, 378, 391, 402, 429","327, 378, 391, 402, 429","327, 378, 391, 402, 429","327, 378, 391, 402, 429","Ed Barker | Barker, Ed | Ed, Barker,"
Gary Barnacle,"Barnacle, Gary",WORD,0,"86, 90, 193, 204","194, 204","194, 204","194, 204","194, 204","Gary Barnacle | Barnacle, Gary | Gary, Barnacle,"
David Barnes,"Barnes, David",WORD,0,"32, 33, 34, 41, 42, 73, 74, 76, 89, 94, 173","73, 74, 75, 76, 90, 94, 174","73, 74, 75, 76, 90, 94, 174","73, 74, 75, 76, 90, 94, 174","73, 74, 75, 76, 90, 94, 174","David Barnes | Barnes, David | David, Barnes,"
Mike Batt,"Batt, Mike",WORD,0,"147, 148, 341, 344","339, 343, 345","339, 343, 345","339, 343, 345","339, 343, 345","Mike Batt | Batt, Mike | Mike, Batt,"
Harold Battiste,"Battiste, Harold",WORD,0,"292, 296","293, 297",,,"293, 297","Harold Battiste | Battiste, Harold | Harold, Battiste,"
BBC Big Band,BBC Big Band,WORD,0,"121, 127, 134, 135, 137, 145, 165, 169","278, 291, 310, 319, 337, 384","278, 291, 310, 319, 337, 384",,"278, 291, 310, 319, 337, 384","BBC Big Band | Band, BBC Big"
BBC Concert Orchestra,BBC Concert Orchestra,WORD,0,"273, 318, 319","274, 319, 320","274, 319, 320",,"274, 319, 320","BBC Concert Orchestra | Orchestra, BBC Concert"
The Beach Boys,"Beach Boys, The",WORD,0,"22, 76",76,"22, 76","22, 76",76,"The Beach Boys | Beach Boys, The | Boys, The Beach | The, Beach Boys,"
The Beatles,"Beatles, The",WORD,0,"13, 30, 77, 99, 175, 226","1, 30, 137, 176, 226, 385, 406","1, 30, 137, 176, 226, 385, 406","1, 30, 137, 176, 226, 385, 406","1, 30, 137, 176, 226, 385, 406","The Beatles | Beatles, The | The, Beatles,"
Bee Gees,Bee Gees,WORD,0,"20, 344, 370","20, 345, 372","20, 345, 372","20, 345, 372","20, 345, 372","Bee Gees | Gees, Bee"
Never Before,"Before, Never",WORD,0,"143, 427, 428","144, 169, 428, 430","144, 169, 428, 430",,"144, 169, 428, 430","Never Before | Before, Never | Never, Before,"
Being Boring,Being Boring,WORD,0,"259, 260","260, 261","260, 261","260, 261","260, 261","Being Boring | Boring, Being"
Dylan Bell,"Bell, Dylan",WORD,0,"384, 385","386, 387","386, 387",,"386, 387","Dylan Bell | Bell, Dylan | Dylan, Bell,"
Jaki Benar,"Benar, Jaki",WORD,0,"146, 147","146, 148","146, 148",,"146, 148","Jaki Benar | Benar, Jaki | Jaki, Benar,"
George Benson,"Benson, George",WORD,0,"8, 20, 179, 422","20, 423","20, 423","20, 423","20, 423","George Benson | Benson, George | George, Benson,"
Leonard Bernstein,"Bernstein, Leonard",WORD,0,"118, 165, 176, 177, 268, 382, 413, 415","269, 384, 414, 416","269, 384, 414, 416","269, 384, 414, 416","269, 384, 414, 416","Leonard Bernstein | Bernstein, Leonard | Leonard, Bernstein,"
Nicholas Biddle,"Biddle, Nicholas",WORD,0,"14, 15, 33","33, 34","33, 34","33, 34","33, 34","Nicholas Biddle | Biddle, Nicholas | Nicholas, Biddle,"
Big Roll Band,Big Roll Band,WORD,0,"13, 17, 29, 41, 175, 411","29, 41, 413","29, 41, 413","29, 41, 413","29, 41, 413","Big Roll Band | Band, Big Roll"
Mike Bigwood,"Bigwood, Mike",WORD,0,"87, 95, 100, 120, 158, 197, 214, 216, 228, 271, 364","197, 216, 229, 272, 365","197, 216, 229, 272, 365","197, 216, 229, 272, 365","197, 216, 229, 272, 365","Mike Bigwood | Bigwood, Mike | Mike, Bigwood,"
Dave Bishop,"Bishop, Dave",WORD,0,"93, 99, 101, 110, 152, 174, 209, 227, 231, 250, 351, 407","210, 228, 232, 251, 353, 410","210, 228, 232, 251, 353, 410","210, 228, 232, 251, 353, 410","210, 228, 232, 251, 353, 410","Dave Bishop | Bishop, Dave | Dave, Bishop,"
Cilla Black,"Black, Cilla",WORD,0,"122, 148, 278, 344, 425","279, 345, 427","279, 345, 427","279, 345, 427","279, 345, 427","Cilla Black | Black, Cilla | Cilla, Black,"
Chris Blackwell,"Blackwell, Chris",WORD,0,"166, 167","167, 168","167, 168",,"167, 168","Chris Blackwell | Blackwell, Chris | Chris, Blackwell,"
Blue Movies,Blue Movies,WORD,0,"215, 424","216, 426","216, 426","216, 426","216, 426","Blue Movies | Movies, Blue"
Colin Blunstone,"Blunstone, Colin",WORD,0,"25, 56, 57, 124","58, 124, 125","58, 124, 125","58, 124, 125","58, 124, 125","Colin Blunstone | Blunstone, Colin | Colin, Blunstone,"
Betty Boo,"Boo, Betty",WORD,0,"1, 425","1, 426","1, 426",,"1, 426","Betty Boo | Boo, Betty | Betty, Boo,"
John Boorman,"Boorman, John",WORD,0,"29, 30, 66","66, 67","66, 67","66, 67","66, 67","John Boorman | Boorman, John | John, Boorman,"
Derek Bramble,"Bramble, Derek",WORD,0,"84, 86, 173, 190, 194, 403","190, 194, 406","190, 194, 406","190, 194, 406","190, 194, 406","Derek Bramble | Bramble, Derek | Derek, Bramble,"
Breaking Away,Breaking Away,WORD,0,"190, 424","191, 426","191, 426","191, 426","191, 426","Breaking Away | Away, Breaking"
Michael Brecker,"Brecker, Michael",WORD,0,"65, 127, 129, 147, 290, 294","147, 291, 295","147, 291, 295","147, 291, 295","147, 291, 295","Michael Brecker | Brecker, Michael | Michael, Brecker,"
Randy Brecker,"Brecker, Randy",WORD,0,"171, 172, 174, 399, 400, 408","401, 402, 410","401, 402, 410","401, 402, 410","401, 402, 410","Randy Brecker | Brecker, Randy | Randy, Brecker,"
Brecker Brothers,Brecker Brothers,WORD,0,"93, 207, 307","93, 208, 308","93, 208, 308","93, 208, 308","93, 208, 308","Brecker Brothers | Brothers, Brecker"
Buddy Bregman,"Bregman, Buddy",WORD,0,"25, 26, 58",58,,,58,"Buddy Bregman | Bregman, Buddy | Buddy, Bregman,"
Bright Eyes,Bright Eyes,WORD,0,"341, 342, 344, 345","339, 342, 344, 345, 346","339, 342, 344, 345, 346","339, 342, 344, 345, 346","339, 342, 344, 345, 346","Bright Eyes | Eyes, Bright"
Bright Size Life,Bright Size Life,WORD,0,"59, 129, 131, 294","133, 295","133, 295","133, 295","133, 295","Bright Size Life | Life, Bright Size"
