key,normalized,pages
24 Hours From Tulsa,24 Hours From Tulsa,"154, 423"
Adventures in Jazz Composition,Adventures in Jazz Composition,"405, 429"
Woody Allen,"Allen, Woody","389, 390"
Also Sprach Zarathustra,Also Sprach Zarathustra,"110, 111"
John Altman,"Altman, John","103, 294, 298, 325, 370, 397, 398, 414"
Always Look On The Bright Side Of Life,Always Look On The Bright Side Of Life,"297, 323"
American Garage,American Garage,"135, 137, 140, 148, 425"
Morey Amsterdam,"Amsterdam, Morey","8, 9, 353"
Jon Anderson,"Anderson, Jon","52, 55"
Steve Anderson,"Anderson, Steve","81, 316, 353"
Simon Andrew,"Andrew, Simon","196, 230, 425"
Derek Andrews,"Andrews, Derek","81, 99, 186, 337"
Julie Andrews,"Andrews, Julie","150, 151, 152, 314"
Angel Studios,Angel Studios,"269, 409"
David Arden,"Arden, David","96, 97"
Arrange Like A Pro,Arrange Like A Pro,"405, 429"
Rick Astley,"Astley, Rick","233, 381"
Average White Band,Average White Band,"162, 301, 332"
Jay Azzolina,"Azzolina, Jay","71, 412"
A Day In The Life,A Day In The Life,"226, 234"
Burt Bacharach,"Bacharach, Burt","22, 186, 279"
Jess Bailey,"Bailey, Jess","154, 157, 163, 185, 187, 199, 231, 232, 235, 261, 356"
Ginger Baker,"Baker, Ginger","18, 19, 43"
Michael Ball,"Ball, Michael","352, 356, 357"
Bandzilla Rises,Bandzilla Rises,"278, 365, 400, 402, 429"
The Bandzilla Songbook,"Bandzilla Songbook, The","402, 430"
Guy Barker,"Barker, Guy","153, 161, 163, 165, 180, 183, 199, 211, 215, 235"
Ed Barker,"Barker, Ed","327, 378, 391, 402, 429"
Gary Barnacle,"Barnacle, Gary","194, 204"
David Barnes,"Barnes, David","73, 74, 75, 76, 90, 94, 174"
Mike Batt,"Batt, Mike","339, 343, 345"
Harold Battiste,"Battiste, Harold","292, 296"
BBC Big Band,BBC Big Band,"278, 291, 310, 319, 337, 384"
BBC Concert Orchestra,BBC Concert Orchestra,"274, 319, 320"
The Beach Boys,"Beach Boys, The","22, 76"
The Beatles,"Beatles, The","1, 30, 137, 176, 226, 385, 406"
Bee Gees,Bee Gees,"20, 345, 372"
Never Before,"Before, Never","144, 169, 428, 430"
Being Boring,Being Boring,"260, 261"
Dylan Bell,"Bell, Dylan","386, 387"
Jaki Benar,"Benar, Jaki","146, 148"
George Benson,"Benson, George","20, 423"
Leonard Bernstein,"Bernstein, Leonard","269, 384, 414, 416"
Nicholas Biddle,"Biddle, Nicholas","33, 34"
Big Roll Band,Big Roll Band,"29, 41, 413"
Mike Bigwood,"Bigwood, Mike","197, 216, 229, 272, 365"
Dave Bishop,"Bishop, Dave","210, 228, 232, 251, 353, 410"
Cilla Black,"Black, Cilla","279, 345, 427"
Chris Blackwell,"Blackwell, Chris","167, 168"
Blue Movies,Blue Movies,"216, 426"
Colin Blunstone,"Blunstone, Colin","58, 124, 125"
Betty Boo,"Boo, Betty","1, 426"
John Boorman,"Boorman, John","66, 67"
Derek Bramble,"Bramble, Derek","190, 194, 406"
Breaking Away,Breaking Away,"191, 426"
Michael Brecker,"Brecker, Michael","147, 291, 295"
Randy Brecker,"Brecker, Randy","401, 402, 410"
Brecker Brothers,Brecker Brothers,"93, 208, 308"
Buddy Bregman,"Bregman, Buddy","25, 26, 58"
Bright Eyes,Bright Eyes,"339, 342, 344, 345, 346"
Bright Size Life,Bright Size Life,"133, 295"
Sarah Brightman,"Brightman, Sarah","97, 108, 109, 151, 210, 248, 425"
Chris Brown,"Brown, Chris","74, 229"
James Brown,"Brown, James","182, 298, 308, 353, 354, 355, 356, 357, 358, 373"
Jack Bruce,"Bruce, Jack","43, 192"
Brunel University,Brunel University,"294, 405"
Sam Burgess,"Burgess, Sam","301, 334"
Gary Burton,"Burton, Gary","57, 60, 64, 133, 295, 307"
Damon Butcher,"Butcher, Damon","154, 163"
Jeff Calvert,"Calvert, Jeff","112, 150, 185, 188"
Sharon Campbell,"Campbell, Sharon","148, 150, 151"
Can You Forgive Her,Can You Forgive Her,"271, 272, 273"
Can't Buy Me Love,Can't Buy Me Love,"30, 344, 384"
Mariah Carey,"Carey, Mariah","339, 428"
Richard Carpenter,"Carpenter, Richard","22, 293, 294, 297, 341"
The Carpenters,"Carpenters, The","76, 294"
Paul Carrack,"Carrack, Paul","392, 393, 429, 430"
Johnny Carson,"Carson, Johnny","179, 213"
Kim Chandler,"Chandler, Kim","310, 319, 323, 324, 369, 370, 391, 401, 413"
Ray Charles,"Charles, Ray","158, 166, 308, 328, 331, 334, 336, 378, 398, 399, 427"
Sean Chenery,"Chenery, Sean","182, 281, 286, 299, 315"
Daisy Chute,"Chute, Daisy","296, 401"
Eric Clapton,"Clapton, Eric","41, 43, 233, 263"
Close Encounters,Close Encounters,"107, 110, 111"
Club Deranged,Club Deranged,"301, 302, 303, 386, 389, 428"
Billy Cobham,"Cobham, Billy","192, 369, 385"
Joe Cocker,"Cocker, Joe","353, 428"
Steve Coe,"Coe, Steve","107, 152"
