key,normalized,edited,pages_extracted,pages_raw
24 Hours From Tulsa,24 Hours From Tulsa,0,"154, 423",
Adventures in Jazz Composition,Adventures in Jazz Composition,0,"405, 429",
Always Look On The Bright Side Of Life,Always Look On The Bright Side Of Life,0,"297, 323",
Arrange Like A Pro,Arrange Like A Pro,0,"405, 429",
Jay Azzolina,"Azzolina, Jay",0,"71, 412",
A Day In The Life,A Day In The Life,0,"226, 234",
Ginger Baker,"Baker, Ginger",0,"18, 19, 43",
Harold Battiste,"Battiste, Harold",0,"292, 296",
Buddy Bregman,"Bregman, Buddy",0,"25, 26, 58",
Can't Buy Me Love,Can't Buy Me Love,0,"30, 344, 384",
The Comic Strip Presents,"Comic Strip Presents, The",0,"228, 229",
Could It Be I'm Falling In Love,Could It Be I'm Falling In Love,0,"190, 395",
David Courtney,"Courtney, David",0,"52, 54, 114",
and Fire Wind Earth,"Earth, Wind, and Fire",0,"93, 148, 357, 413",
From Dreaming to Gigging,From Dreaming to Gigging,0,"402, 428",
I Am Alive,I Am Alive,0,"374, 425",
I Got No Strings,I Got No Strings,0,"309, 317",
It's About Time,It's About Time,0,"162, 163, 164",
Jones The Rhythm,Jones The Rhythm,0,"171, 172",
Let's Make Lots Of Money,Let's Make Lots Of Money,0,"259, 260, 261",
Down Low,"Low, Down",0,"387, 388",
Luck Be a Lady,Luck Be a Lady,0,"306, 310",
Never Before...Never Again,Never Before...Never Again,0,"143, 428",
New York Version,New York Version,0,"176, 177",
Your Pillow,"Pillow, Your",0,"310, 313",
Pink Fairies,Pink Fairies,0,"54, 55",
Popped In Souled Out,Popped In Souled Out,0,"350, 426",
Produce Like A Pro,Produce Like A Pro,0,"406, 416",
Righteous Brothers,Righteous Brothers,0,"396, 397",
Nick Romano,"Romano, Nick",0,"14, 129, 130",
Steve Rubie,"Rubie, Steve",0,"389, 390",
Sex Me Talk Me,Sex Me Talk Me,0,"195, 423, 424",
Alan Shacklock,"Shacklock, Alan",0,"85, 86, 193, 194",
"Silver-Lasky, Pat","Silver-Lasky, Pat",0,"2, 3, 5, 6, 7, 11, 12, 15, 16, 27, 28, 29, 31, 38, 39, 45, 46, 47, 49, 58, 66, 73, 128, 275, 277, 278, 300, 301",
Kate St. John,"St. John, Kate",0,"234, 261, 268, 278, 297, 299, 345, 407",
Street Life,Street Life,0,"156, 157",
The Disco Sound Of Music,The Disco Sound Of Music,0,"150, 151",
The Strike,The Strike,0,"228, 229",
Martin Taylor,"Taylor, Martin",0,"59, 170, 395",
Tell Me Where You're Going,Tell Me Where You're Going,0,"239, 241",
There When I Needed You,There When I Needed You,0,"161, 424",
Thinkin' Bout My Baby,Thinkin' Bout My Baby,0,"330, 331",
The Troggs,The Troggs,0,"285, 288",
Video Killed The Radio Star,Video Killed The Radio Star,0,"168, 211",
Want Your Love,Want Your Love,0,"207, 208",
Harry Warren,"Warren, Harry",0,"129, 130",
Was Not Was,Was Not Was,0,"207, 424",
Ruby Wax,"Wax, Ruby",0,"219, 257",
What A Fool Believes,What A Fool Believes,0,"306, 310, 369, 426",
What Have I Done to Deserve This?,What Have I Done to Deserve This?,0,"259, 261",
Whatever Happened to Hollywood?,Whatever Happened to Hollywood?,0,"406, 429",
